Chỉ tiêu,2019,2020,2021,2022,2023,2024
D.VỐN CHỦ SỞ HỮU,47786636143695.0,59219786306111.0,90780625511439.0,96112939615783.0,102836419239379.0,
I. Vốn chủ sở hữu,47786636143695.0,59219786306111.0,90780625511439.0,96112939615783.0,102836419239379.0,
1. Vốn góp của chủ sở hữu,27610741150000.0,33132826590000.0,44729227060000.0,58147857000000.0,58147857000000.0,
- Cổ phiếu phổ thông có quyền biểu quyết,27610741150000.0,33132826590000.0,44729227060000.0,58147857000000.0,58147857000000.0,
- Cổ phiếu ưu đãi,,,,,,
2. Thặng dư vốn cổ phần,3211560416270.0,3211560416270.0,3211560416270.0,3211560416270.0,3211560416270.0,
3. Quyền chọn chuyển đổi trái phiếu,,,,,,
4. Vốn khác của chủ sở hữu,,,,,,
5. Cổ phiếu quỹ,,,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,,
7. Chênh lệch tỷ giá hối đoái,565534994.0,5568369072.0,-1925960852,-20652355005,,
8. Quỹ đầu tư phát triển,923641612156.0,928641612156.0,923549304122.0,834782434216.0,818200313964.0,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,,
11. Lợi nhuận sau thuế chưa phân phối,15876913750948.0,21792442633285.0,41763425970912.0,33833829973987.0,40593031662654.0,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,7527442867874.0,13450300052812.0,34478143197460.0,25350319419956.0,33796166741483.0,
- LNST chưa phân phối kỳ này,8349470883074.0,8342142580473.0,7285282773452.0,8483510554031.0,6796864921171.0,
12. Nguồn vốn đầu tư XDCB,,,,,,
13. Lợi ích cổ đông không kiểm soát,163213679327.0,148746685328.0,154788720987.0,105562146315.0,65769846491.0,
II. Nguồn kinh phí và quỹ khác,,,,,,
1. Nguồn kinh phí,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,
TỔNG CỘNG NGUỒN VỐN,101776030099900.0,131511434388837.0,178236422358249.0,170335519508132.0,187782586563801.0,
