Chỉ tiêu,2019,2020,2021,2022,2023,2024
10. Cổ phiếu ưu đãi,,,,,,
11. Thuế thu nhập hoãn lại phải trả,270303000000.0,198873000000.0,608707000000.0,926017733007.0,1168678657756.0,
12. Dự phòng phải trả dài hạn,141992000000.0,381334000000.0,319034000000.0,2126404305414.0,2377468837818.0,
13. Quỹ phát triển khoa học và công nghệ,,,,,,
D.VỐN CHỦ SỞ HỮU,64715043000000.0,89129915000000.0,131407411000000.0,148521843124258.0,182636305098851.0,
I. Vốn chủ sở hữu,64715043000000.0,89129915000000.0,131407411000000.0,148521843124258.0,182636305098851.0,
1. Vốn góp của chủ sở hữu,33495139000000.0,33495139000000.0,43543675000000.0,43543674880000.0,43543674880000.0,
- Cổ phiếu phổ thông có quyền biểu quyết,33495139000000.0,33495139000000.0,43543675000000.0,43543674880000.0,43543674880000.0,
- Cổ phiếu ưu đãi,,,,,,
2. Thặng dư vốn cổ phần,295000000000.0,295000000000.0,1260023000000.0,1260023457400.0,1260023457400.0,
3. Quyền chọn chuyển đổi trái phiếu,,,,,,
4. Vốn khác của chủ sở hữu,,,,,,
5. Cổ phiếu quỹ,-5549929000000,-5549929000000,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,,
8. Quỹ đầu tư phát triển,,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,1816269000000.0,1200896000000.0,524355000000.0,475942146313.0,1106315810981.0,
11. Lợi nhuận sau thuế chưa phân phối,26039678000000.0,56259405000000.0,79413446000000.0,99933635409680.0,133391778826863.0,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,21762233000000.0,28294994000000.0,38231847000000.0,70704710295841.0,99928635409679.0,
- LNST chưa phân phối kỳ này,4277445000000.0,27964411000000.0,41181599000000.0,29228925113839.0,33463143417184.0,
12. Nguồn vốn đầu tư XDCB,,,,,,
13. Lợi ích cổ đông không kiểm soát,8618886000000.0,3429404000000.0,6665912000000.0,3308567230865.0,3334512123607.0,
II. Nguồn kinh phí và quỹ khác,,,,,,
1. Nguồn kinh phí,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,
TỔNG CỘNG NGUỒN VỐN,197241028000000.0,215326377000000.0,230516471000000.0,361812647065560.0,444630674501052.0,
