Ngành,Chỉ số,2021,2022,2023,2024
Bất động sản,P/B,3.1346681366,1.5789127478,1.4702983446,1.3918663671
Bất động sản,P/S,9.0436352742,5.9437688678,7.6936253065,24.0535406877
Bất động sản,P/Cash Flow,14.4306337011,513.3404214259,17.4874418592,4.1602295713
Bất động sản,Số CP lưu hành,27535854920.0,29579305078.0,31170004756.0,32029078239.0
Bất động sản,EV/EBITDA,35.6902281906,51.721190761,-115.0077346555,17.1001625275
Bất động sản,BVPS (VND),21731.0947907781,21102.3269183956,22432.2219428763,23987.6864422003
Bất động sản,Chỉ số thanh toán tiền mặt,0.264449361,0.2198092912,0.193783884,0.2213645051
Bất động sản,Nợ/VCSH,1.5600864953,1.9236901203,1.8683058114,2.1926430933
Bất động sản,ROE (%),0.1389149685,0.1130019058,0.1065204557,0.108281121
Bất động sản,ROA (%),0.0611472271,0.0492350047,0.0421434321,0.0375881935
Bất động sản,Số ngày thu tiền bình quân,92.3468154583,129.7758283235,152.5405216262,154.7122497831
Bất động sản,Số ngày tồn kho bình quân,3508.5489442969,2391.3768012885,5202.9766430592,1643.9407485476
Bất động sản,Chỉ số thanh toán nhanh,1.122573645,1.0014153016,1.1595028554,1.1359331123
Bất động sản,Số ngày thanh toán bình quân,106.3220822887,151.2967556043,229.7743411484,595.529513686
Bất động sản,Biên lợi nhuận gộp (%),0.3958546271,0.3630024647,0.3771369514,0.3422949024
Bất động sản,Biên EBIT (%),0.2502024106,0.1826505686,0.2078987014,0.1165169278
Bất động sản,Biên lợi nhuận ròng (%),0.2371236481,0.2616692628,0.2226633221,0.1460348817
Bất động sản,Chỉ số thanh toán hiện thời,1.9210033039,1.627761051,1.8782541378,1.9111288708
Bất động sản,Quay vòng tài sản,0.2760496028,0.1930524033,0.200145224,0.1922055579
Bất động sản,(Vay NH + DH)/VCSH,0.6079463851,0.6737258305,0.696365433,0.7709254667
Bất động sản,ROIC (%),0.264449361,0.2198092912,0.193783884,0.2213645051
Bất động sản,Vòng quay TSCĐ,40.98996,15.29515,11.73347,11.51585
Viễn thông di động,Chu kỳ tiền,166.5487654421,117.2880116698,61.1489474003,44.235976245
Viễn thông di động,Tăng trưởng lợi nhuận (%),-1.5721094731685938,2.4545549823436237,-0.8082181931922284,7.438680160914249
Viễn thông di động,Lợi nhuận sau thuế của Cổ đông công ty mẹ,-2398749242002.0,3489112661347.0,669148330349.0,5646728740025.0
Viễn thông di động,Tăng trưởng doanh thu (%),-0.15815638171684127,0.19864078852723288,-0.4589685273644653,0.24250179223132576
Viễn thông di động,Doanh thu,45778994235624.0,54872569748572.0,29687787218366.0,36887128826202.0
Viễn thông di động,Vốn hóa,110165678509688.0,64589599766072.0,132015642213944.0,218299364700244.0
Viễn thông di động,EPS (VND),-781.0301827611628,1136.0513436960005,217.87397932041566,1838.5688268706326
Viễn thông di động,P/E,0.0,38.9447917053,268.5501726822,38.6053078211
Viễn thông di động,P/B,3.8146046693,2.1592396583,4.3232805047,6.1998961733
Viễn thông di động,P/S,5.663911729,2.6853459451,4.6523685027,6.1436590814
Viễn thông di động,P/Cash Flow,19.5089026992,4.5631452315,9.8267120885,14.7084369294
Viễn thông di động,Số CP lưu hành,3071263179.0,3071263179.0,3071263179.0,3071263179.0
Viễn thông di động,EV/EBITDA,23.9408920409,12.9976565554,20.5999575603,19.3098549536
Viễn thông di động,BVPS (VND),9313.4087751892,9739.5436540666,10107.464966992,11893.7667128138
Viễn thông di động,Chỉ số thanh toán tiền mặt,0.3704461054,0.471177148,0.496150522,0.5952232743
Viễn thông di động,Nợ/VCSH,0.8324537796,0.7206559431,0.7235472085,0.7678260555
Viễn thông di động,ROE (%),-0.0291857593,0.0481954775,0.0152801366,0.1741886769
Viễn thông di động,ROA (%),-0.007658866,0.0203252445,0.0088148431,0.0970796855
